GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
elearning,com.hcl.elearning.configuration,SwaggerConfig,15,0,0,0,6,0,2,0,2,0
elearning,com.hcl.elearning.service,LoginServiceImpl,0,39,0,2,0,10,0,4,0,3
elearning,com.hcl.elearning.service,UserCourseSvcImpl,0,143,0,8,0,34,0,9,0,5
elearning,com.hcl.elearning.service,CouseServiceImpl,0,73,0,4,0,19,0,6,0,4
elearning,com.hcl.elearning.dto,LoginRequestdto,0,17,0,0,0,4,0,5,0,5
elearning,com.hcl.elearning.dto,UserEnrolledCourseResponse,26,19,0,0,6,2,8,5,8,5
elearning,com.hcl.elearning.dto,CourseResponsedto,24,0,0,0,5,0,7,0,7,0
elearning,com.hcl.elearning.dto,CourseResponse,15,23,0,0,5,2,5,6,5,6
elearning,com.hcl.elearning.dto,UserEnrolledCourseResponsedto,24,0,0,0,5,0,7,0,7,0
elearning,com.hcl.elearning.dto,UserCourseRequestdto,0,17,0,0,0,4,0,5,0,5
elearning,com.hcl.elearning.dto,UserCourseResponsedto,14,3,0,0,3,1,4,1,4,1
elearning,com.hcl.elearning.dto,LoginResponsedto,6,11,0,0,2,2,2,3,2,3
elearning,com.hcl.elearning,ELearningApplication,8,0,0,0,3,0,2,0,2,0
elearning,com.hcl.elearning.controller,CourseController,59,0,2,0,13,0,4,0,3,0
elearning,com.hcl.elearning.controller,UserController,124,0,6,0,27,0,8,0,5,0
elearning,com.hcl.elearning.exception,ExceptionHandler,14,0,0,0,2,0,2,0,2,0
elearning,com.hcl.elearning.exception,CourseException,0,4,0,0,0,2,0,1,0,1
elearning,com.hcl.elearning.exception,ErrorResponse,12,0,0,0,6,0,2,0,2,0
elearning,com.hcl.elearning.exception,GeneralException,4,0,0,0,2,0,1,0,1,0
elearning,com.hcl.elearning.exception,UserException,0,4,0,0,0,2,0,1,0,1
elearning,com.hcl.elearning.entity,Course,0,38,0,0,0,7,0,11,0,11
elearning,com.hcl.elearning.entity,User,19,26,0,0,5,3,6,7,6,7
elearning,com.hcl.elearning.entity,UserCourse,10,35,0,0,2,6,3,10,3,10
